file,N,loadtype_code,loadtype,g_val,k_val,n_points,span,depth,shallow_flag,best_fit,decisive,catenary_r2,catenary_aic,catenary_bic,parabolic_r2,parabolic_aic,parabolic_bic,elliptical_r2,elliptical_aic,elliptical_bic
arch_run24_2_g-0.5_k10.0.csv,24,2,asymmetric,-0.5,10,25,9.9997,5.8891,FALSE,parabolic,TRUE,0.92427,-26.578,-22.922,0.93883,-31.915,-28.259,0.93882,-29.912,-25.037
arch_run24_2_g-0.5_k25.0.csv,24,2,asymmetric,-0.5,25,25,9.9995,3.8108,FALSE,parabolic,TRUE,0.93166,-50.739,-47.082,0.93947,-53.769,-50.113,0.93946,-51.767,-46.891
arch_run24_2_g-0.5_k50.0.csv,24,2,asymmetric,-0.5,50,25,9.9994,2.8662,FALSE,parabolic,TRUE,0.93684,-66.9,-63.244,0.94184,-68.961,-65.305,0.94183,-66.958,-62.082
arch_run24_2_g-0.7_k10.0.csv,24,2,asymmetric,-0.7,10,25,9.9997,5.8891,FALSE,parabolic,TRUE,0.92427,-26.578,-22.922,0.93883,-31.915,-28.259,0.93882,-29.912,-25.037
arch_run24_2_g-0.7_k25.0.csv,24,2,asymmetric,-0.7,25,25,9.9995,3.8108,FALSE,parabolic,TRUE,0.93166,-50.739,-47.082,0.93947,-53.769,-50.113,0.93946,-51.767,-46.891
arch_run24_2_g-0.7_k50.0.csv,24,2,asymmetric,-0.7,50,25,9.9994,2.8662,FALSE,parabolic,TRUE,0.93684,-66.9,-63.244,0.94184,-68.961,-65.305,0.94183,-66.958,-62.082
arch_run48_0_g-0.1_k10.0.csv,48,0,uniform,-0.1,10,49,9.9998,6.4682,FALSE,elliptical,TRUE,0.99898,-262.016,-256.34,0.99818,-233.766,-228.091,0.99997,-426.406,-418.839
arch_run48_0_g-0.1_k25.0.csv,48,0,uniform,-0.1,25,49,9.9997,4.1119,FALSE,elliptical,TRUE,0.99987,-408.224,-402.548,0.99912,-312.912,-307.237,0.99999,-562.613,-555.045
arch_run48_0_g-0.1_k50.0.csv,48,0,uniform,-0.1,50,49,9.9996,3.0644,FALSE,elliptical,TRUE,0.99998,-519.611,-513.935,0.99955,-374.918,-369.243,1,-671.365,-663.798
arch_run48_0_g-0.3_k10.0.csv,48,0,uniform,-0.3,10,49,9.9998,12.8705,FALSE,elliptical,TRUE,0.9915,-91.854,-86.179,0.99721,-146.523,-140.847,0.99984,-285.867,-278.3
arch_run48_0_g-0.3_k25.0.csv,48,0,uniform,-0.3,25,49,9.9996,7.1628,FALSE,elliptical,TRUE,0.9985,-233.219,-227.543,0.99797,-218.546,-212.87,0.99995,-400.965,-393.398
arch_run48_0_g-0.3_k50.0.csv,48,0,uniform,-0.3,50,49,9.9994,4.9697,FALSE,elliptical,TRUE,0.99967,-343.299,-337.624,0.99875,-277.411,-271.736,0.99999,-500.893,-493.326
arch_run48_0_g-0.5_k10.0.csv,48,0,uniform,-0.5,10,49,9.9997,18.856,FALSE,elliptical,TRUE,-1.00E-05,178.833,184.508,0.99729,-110.822,-105.147,0.99978,-232.735,-225.168
arch_run48_0_g-0.5_k25.0.csv,48,0,uniform,-0.5,25,49,9.9995,9.7758,FALSE,elliptical,TRUE,0.99585,-153.565,-147.889,0.99745,-177.322,-171.646,0.9999,-333.899,-326.332
arch_run48_0_g-0.5_k50.0.csv,48,0,uniform,-0.5,50,49,9.9992,6.4683,FALSE,elliptical,TRUE,0.99898,-262.007,-256.331,0.99818,-233.754,-228.078,0.99997,-426.386,-418.819
arch_run48_0_g-0.7_k10.0.csv,48,0,uniform,-0.7,10,49,9.9997,24.7366,FALSE,elliptical,TRUE,0,205.313,210.988,0.99756,-89.446,-83.77,0.99977,-202.327,-194.759
arch_run48_0_g-0.7_k25.0.csv,48,0,uniform,-0.7,25,49,9.9994,12.2601,FALSE,elliptical,TRUE,0.99243,-102.238,-96.562,0.99724,-151.618,-145.943,0.99985,-293.679,-286.112
arch_run48_0_g-0.7_k50.0.csv,48,0,uniform,-0.7,50,49,9.9991,7.836,FALSE,elliptical,TRUE,0.99793,-208.998,-203.323,0.9978,-205.861,-200.185,0.99994,-380.025,-372.457
arch_run48_1_g-0.1_k10.0.csv,48,1,central_point,-0.1,10,49,10,1.8785,FALSE,parabolic,TRUE,0.93298,-184.348,-178.673,0.93711,-187.468,-181.792,0.9371,-185.462,-177.895
arch_run48_1_g-0.1_k25.0.csv,48,1,central_point,-0.1,25,49,10,1.3632,TRUE,parabolic,FALSE,0.93487,-217.169,-211.494,0.93711,-218.888,-213.213,0.9371,-216.882,-209.314
arch_run48_1_g-0.1_k50.0.csv,48,1,central_point,-0.1,50,49,10,1.0748,TRUE,parabolic,FALSE,0.9357,-241.091,-235.415,0.93711,-242.181,-236.506,0.9371,-240.173,-232.606
arch_run48_1_g-0.3_k10.0.csv,48,1,central_point,-0.3,10,49,9.9999,2.809,FALSE,parabolic,TRUE,0.92851,-141.757,-136.081,0.93711,-148.035,-142.36,0.9371,-146.03,-138.463
arch_run48_1_g-0.3_k25.0.csv,48,1,central_point,-0.3,25,49,9.9999,2.0048,FALSE,parabolic,TRUE,0.93244,-177.579,-171.904,0.93711,-181.087,-175.412,0.9371,-179.081,-171.514
arch_run48_1_g-0.3_k50.0.csv,48,1,central_point,-0.3,50,49,9.9999,1.5693,FALSE,parabolic,TRUE,0.93417,-202.853,-197.177,0.93711,-205.093,-199.417,0.93711,-203.087,-195.52
arch_run48_1_g-0.5_k10.0.csv,48,1,central_point,-0.5,10,49,9.9999,3.4265,FALSE,parabolic,TRUE,0.92502,-119.945,-114.269,0.93711,-128.562,-122.886,0.9371,-126.553,-118.986
arch_run48_1_g-0.5_k25.0.csv,48,1,central_point,-0.5,25,49,9.9999,2.4137,FALSE,parabolic,TRUE,0.93055,-158.037,-152.362,0.93711,-162.899,-157.224,0.93711,-160.895,-153.327
